team,total_matches,total_opponents,win_ratio,loss_ratio,goals_scored_per_match,goals_conceded_per_match,goals_ratio,overall_performance_score
Poland,853,96,0.4,0.3,1.7,1.3,1.3,2.7
Uruguay,919,83,0.4,0.3,1.6,1.2,1.3,2.7
Kuwait,593,82,0.4,0.3,1.5,1.1,1.4,2.7
Trinidad and Tobago,700,79,0.4,0.4,1.7,1.3,1.3,2.5
Belgium,805,78,0.4,0.3,1.8,1.5,1.2,2.4
United States,728,99,0.4,0.3,1.5,1.3,1.1,2.2
Zimbabwe,483,66,0.4,0.3,1.3,1.1,1.2,2.2
Qatar,570,103,0.4,0.3,1.4,1.2,1.2,2.1
DR Congo,481,60,0.4,0.3,1.5,1.2,1.2,2.0
Honduras,567,61,0.4,0.3,1.5,1.2,1.2,2.0
Haiti,476,60,0.4,0.4,1.6,1.4,1.2,1.9
Mali,531,60,0.4,0.3,1.3,1.1,1.1,1.9
Austria,821,74,0.4,0.4,1.8,1.6,1.1,1.8
Republic of Ireland,596,82,0.4,0.3,1.4,1.2,1.1,1.8
Vietnam,221,46,0.4,0.4,1.7,1.4,1.2,1.7
United Arab Emirates,556,91,0.4,0.4,1.4,1.3,1.1,1.7
Colombia,582,68,0.4,0.3,1.2,1.2,1.0,1.7
Slovakia,328,79,0.4,0.4,1.4,1.3,1.1,1.6
Angola,383,65,0.3,0.3,1.1,1.1,1.1,1.5
New Zealand,383,79,0.4,0.4,1.7,1.5,1.1,1.4
Guadeloupe,246,46,0.4,0.4,1.7,1.5,1.1,1.3
Guinea,509,59,0.4,0.3,1.3,1.2,1.1,1.3
Jordan,427,79,0.4,0.4,1.2,1.1,1.1,1.3
Malaysia,678,65,0.4,0.4,1.6,1.5,1.1,1.2
Turkey,601,90,0.4,0.4,1.4,1.4,1.0,1.2
Myanmar,376,48,0.4,0.4,1.6,1.6,1.0,1.1
Bosnia and Herzegovina,250,79,0.4,0.4,1.4,1.3,1.1,1.1
Guatemala,490,49,0.4,0.4,1.4,1.3,1.1,1.1
Kenya,669,67,0.4,0.4,1.4,1.4,1.0,1.1
Jamaica,606,74,0.4,0.4,1.3,1.3,1.0,1.0
Oman,480,84,0.4,0.4,1.3,1.3,1.0,1.0
Curaçao,345,40,0.4,0.4,1.6,1.6,1.0,0.9
Libya,364,78,0.4,0.4,1.3,1.2,1.1,0.9
Gabon,370,61,0.3,0.4,1.1,1.1,1.0,0.9
Syria,439,57,0.4,0.4,1.4,1.3,1.1,0.8
Bahrain,521,77,0.4,0.4,1.3,1.3,1.0,0.8
Bulgaria,700,93,0.4,0.4,1.4,1.5,0.9,0.7
Chile,794,87,0.4,0.4,1.4,1.4,1.0,0.7
Canada,421,97,0.4,0.4,1.3,1.3,1.0,0.7
Greece,595,83,0.4,0.4,1.2,1.4,0.9,0.7
Slovenia,277,69,0.4,0.4,1.2,1.2,1.0,0.7
Thailand,676,79,0.4,0.4,1.5,1.6,1.0,0.6
Malawi,595,48,0.3,0.4,1.2,1.3,0.9,0.6
Norway,834,98,0.4,0.4,1.5,1.6,0.9,0.5
Indonesia,582,87,0.4,0.4,1.7,1.7,1.0,0.4
Israel,457,82,0.4,0.4,1.5,1.5,1.0,0.4
Paraguay,750,72,0.4,0.4,1.3,1.4,0.9,0.4
Ethiopia,397,59,0.4,0.4,1.4,1.4,1.0,0.3
Burkina Faso,418,59,0.3,0.4,1.2,1.3,0.9,0.2
Madagascar,241,47,0.4,0.4,1.3,1.5,0.8,0.1
Switzerland,836,89,0.4,0.4,1.5,1.7,0.9,0.0
Cuba,355,57,0.3,0.4,1.3,1.5,0.9,-0.0
Rwanda,261,41,0.3,0.4,1.1,1.2,0.9,-0.0
Congo,386,60,0.3,0.4,1.3,1.4,0.9,-0.1
India,435,75,0.3,0.4,1.4,1.7,0.8,-0.2
Saint Vincent and the Grenadines,205,33,0.4,0.4,1.5,1.9,0.8,-0.3
Grenada,230,37,0.3,0.4,1.7,1.8,0.9,-0.3
Sudan,440,70,0.3,0.4,1.1,1.3,0.8,-0.3
Peru,660,62,0.3,0.4,1.2,1.4,0.9,-0.4
Palestine,204,56,0.3,0.4,1.4,1.5,1.0,-0.5
El Salvador,556,55,0.3,0.4,1.3,1.5,0.9,-0.5
Wales,630,75,0.3,0.4,1.2,1.4,0.8,-0.5
North Macedonia,272,66,0.3,0.4,1.2,1.3,0.9,-0.6
Panama,472,58,0.3,0.4,1.2,1.5,0.8,-0.6
Mozambique,337,46,0.3,0.4,1.0,1.3,0.8,-0.6
Burundi,201,45,0.3,0.4,1.1,1.3,0.8,-0.8
Togo,417,63,0.3,0.4,1.1,1.4,0.8,-0.8
Hong Kong,388,55,0.3,0.5,1.4,1.6,0.9,-0.9
Barbados,276,39,0.3,0.5,1.3,1.7,0.8,-0.9
Georgia,270,69,0.3,0.5,1.2,1.4,0.8,-1.0
Belarus,281,74,0.3,0.5,1.2,1.5,0.8,-1.1
Ecuador,551,64,0.3,0.4,1.2,1.6,0.8,-1.1
Sierra Leone,277,44,0.3,0.4,0.9,1.4,0.7,-1.1
Antigua and Barbuda,210,32,0.3,0.5,1.4,1.8,0.8,-1.2
Tanzania,561,57,0.3,0.4,1.1,1.5,0.7,-1.2
Lebanon,290,58,0.3,0.4,1.1,1.5,0.8,-1.3
Saint Lucia,206,31,0.3,0.5,1.4,1.9,0.8,-1.4
Latvia,427,70,0.3,0.5,1.2,1.6,0.7,-1.4
Namibia,247,47,0.3,0.5,1.0,1.4,0.7,-1.6
Gambia,235,42,0.3,0.4,0.9,1.4,0.7,-1.6
Botswana,292,49,0.3,0.4,0.8,1.3,0.6,-1.6
Guyana,280,37,0.3,0.5,1.3,1.8,0.7,-1.7
Iceland,483,82,0.3,0.5,1.2,1.7,0.7,-1.7
Singapore,576,63,0.3,0.5,1.3,1.9,0.7,-1.8
Northern Ireland,622,74,0.3,0.5,1.0,1.6,0.6,-2.1
Mauritius,267,49,0.3,0.5,1.2,1.7,0.7,-2.2
Liberia,268,52,0.3,0.5,0.9,1.4,0.6,-2.5
Albania,362,67,0.3,0.5,0.9,1.5,0.6,-2.6
Kazakhstan,225,70,0.2,0.5,1.0,1.7,0.6,-2.8
Estonia,511,93,0.3,0.5,1.0,1.8,0.6,-2.9
Benin,281,43,0.2,0.5,1.0,1.8,0.6,-2.9
Finland,778,92,0.3,0.5,1.2,2.1,0.6,-3.0
Lithuania,398,66,0.3,0.5,1.0,1.8,0.6,-3.1
Niger,232,42,0.2,0.5,1.0,1.7,0.6,-3.1
Eswatini,246,36,0.2,0.5,0.9,1.7,0.5,-3.1
Philippines,242,48,0.3,0.6,1.2,2.1,0.5,-3.2
Armenia,239,66,0.2,0.5,1.0,1.8,0.6,-3.2
Venezuela,413,49,0.2,0.5,1.0,1.9,0.5,-3.3
Lesotho,265,39,0.2,0.5,0.8,1.6,0.5,-3.4
Bolivia,491,55,0.2,0.5,1.0,2.0,0.5,-3.6
Bangladesh,236,49,0.2,0.5,0.9,2.0,0.4,-3.8
Mauritania,242,54,0.2,0.5,0.8,1.6,0.5,-3.8
Azerbaijan,277,69,0.2,0.5,0.7,1.6,0.5,-3.9
Moldova,266,69,0.2,0.6,0.8,1.7,0.5,-4.4
Taiwan,201,45,0.2,0.6,1.2,2.6,0.5,-4.7
Zanzibar,205,23,0.2,0.6,0.9,2.1,0.4,-4.8
Yemen,233,54,0.2,0.6,0.9,2.3,0.4,-5.1
Sri Lanka,215,44,0.2,0.6,1.0,2.4,0.4,-5.4
Cambodia,241,44,0.2,0.7,1.1,2.6,0.4,-5.5
Cyprus,392,63,0.2,0.6,0.9,2.2,0.4,-5.5
Faroe Islands,254,54,0.2,0.7,0.8,2.4,0.4,-6.2
Malta,427,77,0.1,0.7,0.6,2.3,0.3,-7.0
Luxembourg,432,73,0.1,0.8,0.6,2.6,0.2,-8.5
Liechtenstein,225,53,0.1,0.8,0.4,2.8,0.2,-9.5
